lat	lon	alt
37.42253038	-122.2460687	114.930923462
37.42253038	-122.24598438	116.255401611
37.42253038	-122.24590006	117.115402222
37.42253038	-122.24581574	117.375404358
37.42253038	-122.24573142	117.848670959
37.42253038	-122.2456471	118.108673096
37.42253038	-122.24556278	117.848670959
37.42253038	-122.24547846	117.47467041
37.42253038	-122.24539414	117.034667969
37.42253038	-122.24530982	116.674667358
37.42253038	-122.2452255	116.231460571
37.42253038	-122.24514118	115.991462708
37.42253038	-122.24505686	115.691459656
37.42253038	-122.24497254	115.400466919
37.42253038	-122.24488822	115.140464783
37.42253038	-122.2448039	114.960464478
37.42260231	-122.24640598	113.584449768
37.42260231	-122.24632166	114.764450073
37.42260231	-122.24623734	115.550926208
37.42260231	-122.24615302	116.350921631
37.42260231	-122.2460687	116.910926819
37.42260231	-122.24598438	117.555404663
37.42260231	-122.24590006	117.915405273
37.42260231	-122.24581574	118.255401611
37.42260231	-122.24573142	118.848670959
37.42260231	-122.2456471	118.868675232
37.42260231	-122.24556278	118.388671875
37.42260231	-122.24547846	117.934669495
37.42260231	-122.24539414	117.434669495
37.42260231	-122.24530982	117.174667358
37.42260231	-122.2452255	116.79145813
37.42260231	-122.24514118	116.471458435
37.42260231	-122.24505686	116.051460266
37.42260231	-122.24497254	115.700469971
37.42260231	-122.24488822	115.34046936
37.42260231	-122.2448039	115.200469971
37.42267424	-122.24640598	114.285919189
37.42267424	-122.24632166	115.565917969
37.42267424	-122.24623734	116.461547852
37.42267424	-122.24615302	117.301544189
37.42267424	-122.2460687	117.701545715
37.42267424	-122.24598438	118.032653809
37.42267424	-122.24590006	118.492652893
37.42267424	-122.24581574	118.992652893
37.42267424	-122.24573142	119.352279663
37.42267424	-122.2456471	119.152282715
37.42267424	-122.24556278	118.732284546
37.42267424	-122.24547846	118.191246033
37.42267424	-122.24539414	117.67124176
37.42267424	-122.24530982	117.411247253
37.42267424	-122.2452255	117.119773865
37.42267424	-122.24514118	116.819770813
37.42267424	-122.24505686	116.359771729
37.42267424	-122.24497254	115.874702454
37.42267424	-122.24488822	115.434700012
37.42267424	-122.2448039	115.354698181
37.42274617	-122.24640598	115.285919189
37.42274617	-122.24632166	116.265922546
37.42274617	-122.24623734	117.041549683
37.42274617	-122.24615302	118.081550598
37.42274617	-122.2460687	118.641548157
37.42274617	-122.24598438	119.132652283
37.42274617	-122.24590006	119.452651978
37.42274617	-122.24581574	119.672653198
37.42274617	-122.24573142	119.752281189
37.42274617	-122.2456471	119.492279053
37.42274617	-122.24556278	119.052284241
37.42274617	-122.24547846	118.651245117
37.42274617	-122.24539414	118.111244202
37.42274617	-122.24530982	117.591247559
37.42274617	-122.2452255	117.199775696
37.42274617	-122.24514118	116.959770203
37.42274617	-122.24505686	116.519775391
37.42274617	-122.24497254	115.954704285
37.42274617	-122.24488822	115.534698486
37.42274617	-122.2448039	115.534698486
37.4228181	-122.24640598	116.285919189
37.4228181	-122.24632166	116.885917664
37.4228181	-122.24623734	117.841545105
37.4228181	-122.24615302	119.181549072
37.4228181	-122.2460687	119.901550293
37.4228181	-122.24598438	120.452651978
37.4228181	-122.24590006	120.672653198
37.4228181	-122.24581574	120.752655029
37.4228181	-122.24573142	120.632286072
37.4228181	-122.2456471	120.19228363
37.4228181	-122.24556278	119.552284241
37.4228181	-122.24547846	119.151245117
37.4228181	-122.24539414	118.551246643
37.4228181	-122.24530982	117.891242981
37.4228181	-122.2452255	117.379776001
37.4228181	-122.24514118	117.099769592
37.4228181	-122.24505686	116.639770508
37.4228181	-122.24497254	116.094703674
37.4228181	-122.24488822	115.714698792
37.4228181	-122.2448039	115.774703979
37.422890030000005	-122.24640598	116.685920715
37.422890030000005	-122.24632166	117.345916748
37.422890030000005	-122.24623734	118.581550598
37.422890030000005	-122.24615302	119.941551208
37.422890030000005	-122.2460687	120.581550598
37.422890030000005	-122.24598438	121.092651367
37.422890030000005	-122.24590006	121.292655945
37.422890030000005	-122.24581574	121.392654419
37.422890030000005	-122.24573142	121.212280273
37.422890030000005	-122.2456471	120.632286072
